163,Aaliyah,24.44,59.72,50.41,11.90,8.46,
780,Aaniyah,16.08,59.32,78.82,97.67,23.29,
649,Aarya,50.36,30.13,1.27,0.03,0.03,
931,Abigail,49.14,36.74,81.13,38.59,31.74,
136,Ada,28.94,44.38,5.16,37.08,33.88,
731,Adalee,36.88,26.29,34.74,86.09,87.01,
509,Adaleigh,32.16,45.94,9.25,69.83,80.08,
275,Adalind,32.32,37.69,39.83,25.39,22.04,
346,Adaline,11.63,22.75,7.40,84.44,38.72,
592,Adalyn,26.58,27.08,87.76,61.43,13.99,
616,Adalynn,11.35,31.18,49.82,0.63,35.62,
84,Addalyn,15.67,43.95,54.62,11.56,86.13,
968,Addison,37.04,34.76,3.70,93.73,32.63,
973,Addisyn,30.85,39.38,70.60,72.62,86.65,
427,Adelaide,27.88,44.50,15.59,66.82,32.23,
860,Adelia,34.82,48.40,94.50,90.92,17.18,
93,Adella,21.64,40.65,8.96,76.94,76.01,
975,Adelyn,38.46,39.10,37.97,2.07,84.63,
980,Adelynn,17.13,55.86,82.16,70.01,82.37,
475,Adilene,12.71,47.89,89.66,50.01,92.35,
685,Adilynn,13.77,55.20,75.29,68.34,97.89,
944,Adira,52.52,30.13,26.67,65.70,57.18,
5,Adley,34.64,39.99,67.82,86.12,85.21,
733,Adriana,12.41,36.99,56.41,88.13,73.21,
359,Adrianna,40.42,31.37,0.86,4.14,88.86,
96,Adrienne,20.55,48.88,75.96,42.17,78.05,
745,Aila,35.98,35.49,41.06,42.14,38.25,
933,Ailani,38.58,55.50,50.00,9.64,27.32,
86,Ainsley,55.83,32.27,97.82,67.65,30.60,
501,Aislinn,14.89,35.02,54.95,30.00,21.75,
790,Aislynn,44.40,30.25,89.29,82.05,69.38,
343,Aitana,47.50,52.37,56.76,3.35,72.48,
890,Aiyana,36.57,26.62,25.28,29.68,97.77,
588,Alaia,34.02,20.73,55.98,43.78,92.80,
909,Alana,23.94,51.09,45.30,32.99,22.56,
960,Alani,14.71,46.21,49.00,20.96,43.33,
521,Alanna,49.75,23.51,62.28,76.16,18.91,
79,Alaya,38.76,52.76,27.69,45.96,4.81,
740,Alayah,15.94,45.64,69.31,10.76,70.54,
377,Alayna,52.38,33.00,30.03,29.46,91.01,
753,Aleigha,13.65,38.12,38.10,36.22,0.60,
360,Alejandra,16.94,28.38,76.75,28.25,27.20,
170,Alena,47.76,51.01,17.85,51.19,94.41,
354,Alexa,51.96,30.42,24.23,26.63,94.14,
547,Alexandria,59.97,46.42,76.80,80.52,53.04,
129,Aleyah,44.29,47.51,91.31,98.86,24.88,
452,Alia,12.19,30.11,69.65,57.04,66.36,
408,Aliana,46.47,40.50,57.65,15.88,6.79,
770,Alianna,32.52,46.06,62.23,96.12,15.74,
579,Alice,43.12,38.97,87.70,79.02,63.45,
149,Alina,39.06,41.53,27.46,68.43,79.35,
877,Alisa,41.88,24.16,46.83,16.68,19.93,
651,Alisha,39.16,39.00,33.60,25.55,92.24,
122,Alison,41.31,34.81,11.55,71.95,65.27,
527,Alisson,52.86,42.66,2.30,35.52,90.46,
948,Alivia,52.67,38.92,77.36,30.08,79.70,
555,Aliya,58.88,42.86,20.28,11.37,88.95,
59,Aliyah,21.25,28.35,36.99,65.41,29.90,
657,Aliyana,45.47,42.17,45.85,68.36,18.13,
727,Aliza,58.30,32.24,38.23,71.87,32.15,
755,Allie,19.14,59.93,13.90,86.85,74.04,
668,Allison,14.62,51.37,4.10,50.34,61.61,
885,Althea,18.59,59.34,90.22,45.72,22.81,
913,Alyson,20.81,34.31,75.58,84.02,65.98,
766,Alyssa,13.09,44.04,20.28,2.71,91.47,
899,Alyvia,55.02,32.81,9.12,31.89,15.00,
95,Amaia,40.43,24.44,3.67,70.57,87.58,
469,Amalia,10.44,51.01,66.62,20.69,71.71,
872,Amanda,27.80,35.57,64.99,71.13,52.02,
269,Amani,29.25,22.79,61.98,67.83,93.56,
495,Amara,35.09,47.08,30.01,60.14,14.89,
234,Amaria,41.32,48.37,76.50,21.45,2.32,
235,Amaris,53.82,43.86,0.11,24.55,9.81,
796,Amaya,43.99,37.36,23.56,69.57,14.41,
222,Amelia,47.53,53.37,91.59,5.41,73.07,
886,Amelie,46.41,26.78,81.90,72.57,72.43,
159,America,31.94,44.57,24.20,3.08,68.62,
816,Amethyst,28.92,38.27,89.59,44.59,85.82,
320,Amia,38.20,21.58,5.13,66.20,9.52,
842,Amiah,27.98,20.50,7.07,41.69,12.34,
583,Amina,29.64,23.44,23.70,81.78,17.07,
324,Aminah,53.76,24.28,72.02,48.66,65.30,
972,Amiracle,16.75,52.15,75.80,82.08,11.27,
437,Amiyah,51.55,41.80,94.47,0.19,43.37,
329,Amora,34.87,38.82,55.95,11.10,20.03,
42,Amy,48.64,36.28,85.99,82.93,58.97,
554,Ana,33.03,37.06,90.13,84.42,68.26,
312,Anabella,17.51,57.42,40.42,96.79,96.17,
568,Anabelle,44.39,21.33,96.18,69.59,95.20,
805,Anais,24.30,56.61,6.13,87.31,80.85,
465,Analia,41.69,46.46,86.09,83.43,36.98,
172,Analiah,21.16,44.44,27.81,46.83,69.14,
698,Analise,47.51,41.66,58.25,21.03,50.84,
233,Anastasia,23.52,32.68,36.82,5.43,49.71,
560,Anaya,30.90,56.03,11.32,65.18,86.92,
294,Anayah,44.19,21.82,72.40,39.56,31.80,
581,Andi,54.27,55.02,20.07,90.79,82.60,
36,Andie,18.40,36.81,86.43,17.67,58.79,
349,Andrea,31.62,56.94,82.93,3.80,72.59,
203,Angel,14.89,49.98,33.99,86.14,93.42,
964,Angela,25.94,59.16,55.79,44.89,78.56,
545,Angelina,55.84,21.12,87.76,30.84,20.04,
165,Ania,18.50,47.06,20.96,44.28,82.80,
864,Anika,40.07,24.92,89.91,47.56,41.24,
669,Aniyah,12.56,31.47,51.04,79.41,48.74,
483,Anja,42.12,58.89,1.90,96.79,71.05,
722,Annabelle,19.11,44.90,98.13,94.39,55.11,
426,Annalee,55.94,26.30,37.89,44.96,57.49,
69,Annaliese,28.96,43.51,11.45,19.99,98.08,
607,Annalise,24.47,21.11,20.46,64.56,33.23,
904,Annelise,40.69,30.88,28.43,80.20,10.08,
368,Annie,31.34,33.92,10.81,14.57,38.55,
935,Annika,51.99,51.39,25.12,12.77,19.09,
763,Ansley,33.33,58.45,80.11,10.05,29.33,
401,Anya,55.49,45.62,46.24,6.50,94.20,
628,Arabella,13.79,45.34,28.59,5.19,9.34,
819,Araceli,39.69,39.23,60.23,21.52,42.35,
976,Aranza,13.11,22.12,61.02,61.06,11.50,
10,Areli,52.47,34.51,80.61,32.42,97.91,
300,Arella,52.70,30.93,78.45,7.81,7.08,
811,Arely,31.19,50.23,29.53,6.36,20.68,
781,Ari,11.81,53.87,44.27,13.52,13.62,
230,Aria,36.03,56.11,25.23,28.59,31.63,
716,Ariadna,51.19,37.35,40.36,64.57,68.75,
575,Ariadne,20.71,47.49,34.43,91.92,34.24,
956,Ariah,21.66,46.36,19.98,48.35,65.01,
341,Ariana,13.10,52.97,51.72,78.10,86.48,
862,Arianna,50.02,51.42,88.26,16.34,46.67,
67,Ariel,44.01,28.86,27.09,61.36,51.35,
52,Ariella,28.55,29.54,60.01,7.73,34.85,
851,Arielle,13.22,41.70,18.30,43.91,28.32,
609,Ariya,53.24,23.87,81.97,1.50,1.67,
492,Ariyana,50.79,35.54,72.26,6.52,98.41,
432,Arlette,43.73,37.57,46.79,38.22,41.27,
897,Armani,38.23,26.08,98.78,94.99,70.22,
673,Arya,38.57,54.29,48.95,12.56,94.86,
347,Ashlyn,57.56,48.27,32.17,34.85,87.92,
880,Aspen,59.69,59.16,6.98,93.81,64.77,
761,Aspyn,15.11,32.89,15.39,49.19,36.42,
720,Astrid,55.83,45.13,93.66,63.42,82.95,
567,Athena,40.85,28.90,70.91,50.19,98.49,
155,Aubree,24.96,58.63,66.02,34.94,23.37,
815,Aubrey,57.96,32.04,36.40,57.39,23.11,
459,Aubriella,18.07,23.16,29.02,16.03,19.67,
831,Aubry,39.63,33.84,87.43,21.80,45.63,
742,Aubryn,39.88,54.66,55.44,60.03,25.99,
597,Aurelia,51.42,40.51,36.52,0.16,84.78,
232,Aurora,52.94,21.28,26.59,5.62,29.98,
640,Austyn,46.02,42.25,11.09,2.76,10.93,
92,Autumn,27.67,24.02,61.19,57.97,78.16,
355,Avah,49.88,31.75,14.55,91.90,92.67,
265,Avalee,38.62,26.15,21.28,6.34,85.28,
425,Avalynn,57.98,27.40,12.54,63.80,31.47,
175,Averie,30.64,38.85,44.94,45.08,82.86,
479,Avery,26.29,45.96,64.56,8.86,31.06,
600,Avi,17.97,31.00,89.33,23.67,45.34,
317,Aviana,12.97,39.91,90.68,13.25,15.17,
156,Avianna,50.86,41.01,28.81,88.63,56.81,
319,Aviva,24.59,27.76,33.59,59.42,36.49,
214,Aya,36.08,59.15,28.86,28.70,20.92,
140,Ayana,15.12,34.51,71.25,14.00,9.88,
809,Ayla,47.15,25.28,71.68,89.08,49.03,
807,Ayleen,27.66,38.08,61.86,16.62,90.12,
242,Azalea,38.14,32.26,64.11,63.92,74.29,
986,Azariah,25.63,42.57,74.46,94.74,77.15,
850,Azeneth,44.09,27.90,20.68,38.05,71.98,
580,Barbara,39.34,56.43,64.72,87.14,80.91,
542,Baylee,34.05,26.38,17.06,74.12,88.87,
506,Beatriz,27.66,21.72,89.14,71.48,44.37,
878,Belen,23.70,58.31,47.75,47.52,28.27,
9,Bella,50.64,29.66,29.82,30.13,98.02,
544,Bellamy,59.25,23.46,3.62,12.16,46.64,
404,Belle,35.61,28.87,22.85,23.09,62.25,
925,Berkley,53.33,59.95,29.05,73.28,30.16,
993,Bexleigh,22.93,38.56,72.13,40.52,60.41,
613,Bexley,29.14,43.65,62.23,30.93,26.34,
238,Bianca,36.73,47.82,86.23,76.59,77.52,
